order_id,product_id,quantity,unit_price,line_total,cogs
O0000312,P000140,3,129.81,389.43,316.74
O0000313,P000196,3,18.21,54.63,35.43
O0000313,P000070,1,133.12,133.12,100.88
O0000316,P000109,3,160.16,480.48,297.66
O0000316,P000126,1,99.11,99.11,79.33
O0000319,P000209,2,75.33,150.66,102.12
O0000319,P000099,1,89.49,89.49,49.94
O0000319,P000086,1,55.33,55.33,35.01
O0000322,P000018,1,167.08,167.08,118.6
O0000322,P000125,3,133.53,400.59,315.15
O0000333,P000036,1,146.96,146.96,114.78
O0000340,P000018,2,167.08,334.16,237.2
O0000340,P000120,1,74.55,74.55,50.75
O0000340,P000057,1,173.82,173.82,98.82
O0000340,P000201,2,46.52,93.04,60.44
O0000351,P000010,1,91.65,91.65,53.37
O0000351,P000062,1,226.91,226.91,126.28
O0000351,P000148,1,87.71,87.71,57.9
O0000351,P000130,2,158.69,317.38,190.12
O0000359,P000093,2,34.96,69.92,42.26
O0000373,P000119,2,139.19,278.38,165.26
O0000373,P000057,2,173.82,347.64,197.64
O0000373,P000014,3,142.15,426.45,279.57
O0000373,P000125,3,133.53,400.59,315.15
O0000374,P000062,2,226.91,453.82,252.56
O0000375,P000080,2,50.15,100.3,82.82
O0000375,P000018,2,167.08,334.16,237.2
O0000375,P000150,1,116.96,116.96,71.17
O0000376,P000171,3,204.9,614.7,344.04
O0000376,P000204,1,193.37,193.37,113.36
O0000376,P000174,3,80.62,241.86,154.26
O0000377,P000117,1,93.0,93.0,55.93
O0000377,P000027,3,8.95,26.85,19.5
O0000377,P000176,3,73.87,221.61,132.96
O0000386,P000075,2,35.15,70.3,57.54
O0000386,P000061,1,67.98,67.98,50.03
O0000386,P000182,3,162.81,488.43,292.98
O0000391,P000112,1,7.78,7.78,5.01
O0000391,P000103,3,86.7,260.1,167.82
O0000391,P000026,2,55.64,111.28,75.96
O0000404,P000122,3,68.44,205.32,130.59
O0000407,P000002,3,48.7,146.1,102.06
O0000407,P000151,1,104.27,104.27,80.65
O0000407,P000207,3,180.55,541.65,414.12
O0000407,P000028,2,9.84,19.68,12.8
O0000416,P000180,3,172.02,516.06,406.35
O0000416,P000164,3,103.98,311.94,175.38
O0000417,P000200,3,71.12,213.36,123.42
O0000417,P000123,3,13.34,40.02,32.37
O0000417,P000162,3,92.33,276.99,211.59
O0000418,P000022,3,172.32,516.96,356.7
O0000418,P000089,1,209.04,209.04,134.35
O0000418,P000118,3,142.59,427.77,271.62
O0000427,P000160,1,76.27,76.27,59.93
O0000428,P000066,3,109.32,327.96,184.5
O0000428,P000204,1,177.56,177.56,113.36
O0000428,P000044,2,71.92,143.84,113.98
O0000428,P000002,1,48.7,48.7,34.02
O0000436,P000193,1,62.5,62.5,48.14
O0000436,P000198,3,155.23,465.69,363.99
O0000438,P000108,2,12.76,25.52,20.06
O0000443,P000007,1,37.9,37.9,29.18
O0000443,P000067,2,134.32,268.64,173.86
O0000443,P000197,2,45.2,90.4,56.02
O0000443,P000198,2,155.23,310.46,242.66
O0000444,P000030,1,82.95,82.95,64.17
O0000444,P000001,3,39.12,117.36,80.19
O0000444,P000176,1,73.87,73.87,44.32
O0000445,P000187,1,89.77,89.77,52.63
O0000445,P000109,1,160.16,160.16,99.22
O0000445,P000125,3,119.0,357.0,315.15
O0000445,P000084,2,117.97,235.94,192.04
O0000447,P000119,3,139.19,417.57,247.89
O0000447,P000166,3,123.53,370.59,222.18
O0000449,P000039,3,110.39,331.17,225.39
O0000450,P000038,3,150.64,451.92,299.01
O0000451,P000197,2,45.2,90.4,56.02
O0000451,P000128,1,46.36,46.36,29.8
O0000451,P000191,1,94.4,94.4,56.1
O0000451,P000151,2,104.27,208.54,161.3
O0000458,P000102,1,139.36,139.36,102.09
O0000458,P000022,2,172.32,344.64,237.8
O0000458,P000020,2,21.44,42.88,32.58
O0000458,P000007,1,37.9,37.9,29.18
O0000461,P000083,1,88.83,88.83,57.71
O0000461,P000030,3,87.03,261.09,192.51
O0000462,P000059,3,42.4,127.2,103.74
O0000462,P000095,2,185.01,370.02,266.76
O0000463,P000191,1,85.48,85.48,56.1
O0000463,P000153,2,29.01,58.02,36.04
O0000464,P000038,1,150.64,150.64,99.67
O0000464,P000202,3,67.22,201.66,130.11
O0000465,P000164,2,103.98,207.96,116.92
O0000465,P000130,3,165.68,497.04,285.18
O0000474,P000184,1,198.0,198.0,130.32
O0000489,P000056,3,211.91,635.73,372.3
O0000489,P000045,1,177.13,177.13,123.48
O0000489,P000125,2,133.53,267.06,210.1
O0000498,P000153,1,29.01,29.01,18.02
O0000498,P000128,3,46.36,139.08,89.4
O0000498,P000103,1,86.7,86.7,55.94
O0000498,P000117,2,89.17,178.34,111.86
O0000500,P000130,1,165.68,165.68,95.06
O0000500,P000077,3,54.81,164.43,102.33
O0000500,P000013,1,67.35,67.35,42.68
O0000506,P000193,2,62.5,125.0,96.28
O0000506,P000164,1,103.98,103.98,58.46
O0000506,P000033,1,190.5,190.5,131.29
O0000506,P000172,1,183.34,183.34,109.12
O0000508,P000159,1,186.74,186.74,133.11
O0000508,P000078,2,76.24,152.48,120.62
O0000509,P000064,1,161.85,161.85,113.1
O0000510,P000203,2,168.85,337.7,243.52
O0000510,P000073,3,143.59,430.77,329.49
O0000510,P000041,1,84.65,84.65,51.21
O0000510,P000190,1,108.68,108.68,76.93
O0000511,P000102,1,129.54,129.54,102.09
O0000511,P000153,3,29.01,87.03,54.06
O0000511,P000055,2,103.25,206.5,164.3
O0000511,P000005,3,237.41,712.23,419.1
O0000512,P000096,1,92.07,92.07,54.39
O0000523,P000151,2,104.27,208.54,161.3
O0000523,P000161,1,167.58,167.58,138.18
O0000524,P000142,1,186.44,186.44,123.08
O0000524,P000082,3,108.66,325.98,189.66
O0000528,P000045,3,177.13,531.39,370.44
O0000533,P000066,3,109.32,327.96,184.5
O0000536,P000075,2,39.15,78.3,57.54
O0000536,P000136,2,170.33,340.66,266.04
O0000536,P000028,3,9.84,29.52,19.2
O0000536,P000058,3,111.12,333.36,258.6
O0000539,P000055,1,103.25,103.25,82.15
O0000539,P000132,1,183.48,183.48,130.56
O0000539,P000110,1,22.87,22.87,16.47
O0000539,P000020,1,21.98,21.98,16.29
O0000541,P000105,2,60.01,120.02,93.06
O0000542,P000180,3,172.02,516.06,406.35
O0000542,P000090,3,115.66,346.98,271.56
O0000542,P000026,2,55.64,111.28,75.96
O0000542,P000155,3,159.73,479.19,388.92
O0000550,P000128,2,46.36,92.72,59.6
O0000551,P000134,3,120.63,361.89,207.84
O0000551,P000114,3,31.0,93.0,65.7
O0000553,P000053,1,105.27,105.27,77.64
O0000564,P000074,2,91.82,183.64,167.5
O0000567,P000123,3,12.24,36.72,32.37
O0000567,P000095,3,185.01,555.03,400.14
O0000567,P000107,3,66.3,198.9,146.67
O0000567,P000220,2,131.92,263.84,211.22
O0000568,P000055,3,103.25,309.75,246.45
O0000568,P000187,1,89.77,89.77,52.63
O0000568,P000057,1,173.82,173.82,98.82
O0000570,P000150,1,122.07,122.07,71.17
O0000570,P000090,1,115.66,115.66,90.52
O0000570,P000021,1,63.5,63.5,44.58
O0000577,P000111,2,76.23,152.46,119.9
O0000577,P000146,1,176.67,176.67,121.52
O0000577,P000079,2,113.61,227.22,150.44
O0000577,P000053,2,105.27,210.54,155.28
O0000580,P000020,2,21.98,43.96,32.58
O0000581,P000153,3,29.01,87.03,54.06
O0000581,P000127,1,40.33,40.33,22.64
O0000581,P000139,1,51.03,51.03,30.45
O0000581,P000094,2,102.07,204.14,145.8
O0000585,P000088,2,101.61,203.22,125.86
O0000585,P000106,1,107.24,107.24,61.88
O0000585,P000154,3,117.03,351.09,304.71
O0000592,P000088,1,101.61,101.61,62.93
O0000592,P000155,3,159.73,479.19,388.92
O0000592,P000051,2,59.73,119.46,96.48
O0000595,P000094,1,102.07,102.07,72.9
O0000595,P000092,2,143.7,287.4,191.16
O0000596,P000185,1,181.06,181.06,139.53
O0000596,P000121,1,173.56,173.56,107.7
O0000596,P000013,1,67.35,67.35,42.68
O0000597,P000019,2,88.69,177.38,146.2
O0000597,P000072,3,29.86,89.58,66.9
O0000597,P000026,2,55.64,111.28,75.96
O0000597,P000028,1,9.84,9.84,6.4
O0000604,P000099,2,89.49,178.98,99.88
O0000604,P000005,2,237.41,474.82,279.4
O0000605,P000078,1,76.24,76.24,60.31
O0000614,P000057,3,173.82,521.46,296.46
O0000614,P000137,3,95.13,285.39,167.4
O0000614,P000179,3,24.92,74.76,60.24
O0000615,P000049,2,77.0,154.0,106.96
O0000615,P000048,3,136.93,410.79,274.59
O0000615,P000202,3,67.22,201.66,130.11
O0000615,P000101,2,89.95,179.9,112.2
O0000619,P000025,2,162.85,325.7,198.82
O0000619,P000118,3,142.59,427.77,271.62
O0000619,P000101,1,89.95,89.95,56.1
O0000629,P000187,1,89.77,89.77,52.63
O0000633,P000065,1,184.09,184.09,135.25
O0000633,P000185,2,181.06,362.12,279.06
O0000642,P000118,3,142.59,427.77,271.62
O0000642,P000208,1,90.75,90.75,61.08
O0000642,P000116,3,118.02,354.06,251.94
O0000642,P000146,3,176.67,530.01,364.56
O0000644,P000021,1,63.5,63.5,44.58
O0000644,P000091,1,42.42,42.42,25.07
O0000644,P000092,3,158.09,474.27,286.74
O0000644,P000106,1,107.24,107.24,61.88
O0000645,P000029,1,23.05,23.05,17.08
O0000645,P000134,2,120.63,241.26,138.56
O0000645,P000162,1,92.33,92.33,70.53
O0000645,P000017,1,123.26,123.26,79.36
O0000653,P000146,1,176.67,176.67,121.52
O0000666,P000212,2,66.35,132.7,105.6
O0000666,P000162,1,92.33,92.33,70.53
O0000668,P000090,2,115.66,231.32,181.04
O0000668,P000031,2,104.78,209.56,133.04
O0000671,P000072,3,31.58,94.74,66.9
O0000674,P000211,1,122.08,122.08,76.33
O0000674,P000036,3,146.96,440.88,344.34
O0000674,P000020,2,21.98,43.96,32.58
O0000674,P000114,1,31.0,31.0,21.9
O0000682,P000045,3,177.13,531.39,370.44
O0000682,P000146,2,176.67,353.34,243.04
O0000686,P000039,1,110.39,110.39,75.13
O0000686,P000097,3,145.63,436.89,366.48
O0000687,P000134,2,120.63,241.26,138.56
O0000687,P000183,3,74.7,224.1,176.76
O0000687,P000030,3,87.03,261.09,192.51
O0000689,P000036,1,146.96,146.96,114.78
O0000690,P000010,2,91.65,183.3,106.74
O0000690,P000157,2,52.19,104.38,71.04
O0000690,P000030,3,87.03,261.09,192.51
O0000690,P000031,3,104.78,314.34,199.56
O0000692,P000187,3,89.77,269.31,157.89
O0000692,P000088,1,101.61,101.61,62.93
O0000694,P000006,3,127.78,383.34,244.86
O0000696,P000188,3,42.25,126.75,80.52
O0000698,P000020,1,21.98,21.98,16.29
O0000698,P000046,1,181.44,181.44,117.45
O0000701,P000170,1,96.8,96.8,54.42
O0000701,P000133,3,187.12,561.36,417.96
O0000701,P000058,2,111.12,222.24,172.4
O0000703,P000034,1,159.16,159.16,123.03
O0000703,P000065,1,184.09,184.09,135.25
O0000703,P000203,1,156.49,156.49,121.76
O0000704,P000101,2,81.13,162.26,112.2
O0000704,P000036,2,146.96,293.92,229.56
O0000704,P000204,1,193.37,193.37,113.36
O0000706,P000060,1,19.54,19.54,11.2
O0000706,P000167,2,82.2,164.4,140.1
O0000706,P000080,2,50.15,100.3,82.82
O0000713,P000035,1,105.63,105.63,68.97
O0000713,P000156,1,152.88,152.88,120.89
O0000713,P000069,2,195.08,390.16,265.24
O0000713,P000081,3,33.16,99.48,71.82
O0000724,P000020,2,21.98,43.96,32.58
O0000724,P000010,1,91.65,91.65,53.37
O0000724,P000146,3,176.67,530.01,364.56
O0000725,P000171,2,204.9,409.8,229.36
O0000725,P000175,3,179.57,538.71,365.04
O0000725,P000042,1,153.63,153.63,106.57
O0000725,P000059,2,40.09,80.18,69.16
O0000732,P000163,3,62.87,188.61,135.03
O0000733,P000027,3,8.54,25.62,19.5
O0000740,P000153,1,29.01,29.01,18.02
O0000744,P000134,3,120.63,361.89,207.84
O0000748,P000141,2,243.31,486.62,276.28
O0000748,P000151,2,97.66,195.32,161.3
O0000748,P000073,3,143.59,430.77,329.49
O0000749,P000199,1,50.43,50.43,32.15
O0000751,P000196,1,18.21,18.21,11.81
O0000751,P000162,1,83.89,83.89,70.53
O0000751,P000190,2,108.68,217.36,153.86
O0000754,P000084,1,117.97,117.97,96.02
O0000762,P000206,1,68.58,68.58,49.43
O0000762,P000169,2,184.78,369.56,221.06
O0000762,P000218,1,39.43,39.43,27.28
O0000762,P000126,1,99.11,99.11,79.33
O0000763,P000065,3,184.09,552.27,405.75
O0000764,P000186,3,36.72,110.16,89.79
O0000775,P000028,1,9.84,9.84,6.4
O0000775,P000059,2,42.4,84.8,69.16
O0000775,P000146,1,176.67,176.67,121.52
O0000775,P000174,3,80.62,241.86,154.26
O0000776,P000107,2,66.3,132.6,97.78
O0000776,P000114,1,31.0,31.0,21.9
O0000778,P000138,2,15.57,31.14,20.12
O0000784,P000017,1,129.33,129.33,79.36
O0000784,P000002,3,48.7,146.1,102.06
O0000784,P000086,2,58.31,116.62,70.02
O0000784,P000082,3,108.66,325.98,189.66
O0000786,P000034,3,159.16,477.48,369.09
O0000786,P000130,1,165.68,165.68,95.06
O0000786,P000106,1,91.35,91.35,61.88
O0000788,P000069,2,202.06,404.12,265.24
O0000788,P000155,3,144.9,434.7,388.92
O0000788,P000022,3,172.32,516.96,356.7
O0000788,P000201,1,46.52,46.52,30.22
O0000789,P000100,3,168.95,506.85,388.53
O0000789,P000199,3,50.43,151.29,96.45
O0000799,P000004,1,61.41,61.41,39.3
O0000799,P000165,1,35.61,35.61,23.1
O0000801,P000161,2,167.58,335.16,276.36
O0000801,P000187,1,89.77,89.77,52.63
O0000801,P000122,2,68.44,136.88,87.06
O0000801,P000037,1,162.34,162.34,96.23
O0000803,P000063,3,116.15,348.45,195.33
O0000814,P000018,1,167.08,167.08,118.6
O0000814,P000167,2,93.41,186.82,140.1
O0000815,P000200,1,71.12,71.12,41.14
O0000815,P000066,1,109.32,109.32,61.5
O0000815,P000022,3,172.32,516.96,356.7
O0000815,P000069,2,182.63,365.26,265.24
O0000818,P000131,1,51.84,51.84,42.65
O0000818,P000186,2,36.72,73.44,59.86
O0000818,P000209,3,75.33,225.99,153.18
O0000818,P000016,1,36.22,36.22,28.13
O0000821,P000186,3,35.8,107.4,89.79
O0000821,P000157,2,52.19,104.38,71.04
O0000822,P000199,2,50.43,100.86,64.3
O0000822,P000109,3,160.16,480.48,297.66
O0000822,P000137,3,95.13,285.39,167.4
O0000822,P000120,2,74.55,149.1,101.5
O0000824,P000112,1,7.78,7.78,5.01
O0000829,P000077,3,52.2,156.6,102.33
O0000829,P000078,3,76.24,228.72,180.93
O0000829,P000134,3,111.55,334.65,207.84
O0000829,P000121,2,173.56,347.12,215.4
O0000830,P000086,2,58.31,116.62,70.02
O0000830,P000118,2,142.59,285.18,181.08
O0000830,P000210,2,108.74,217.48,134.78
O0000832,P000090,1,115.66,115.66,90.52
O0000832,P000114,2,31.0,62.0,43.8
O0000832,P000158,1,19.57,19.57,10.94
O0000832,P000141,2,243.31,486.62,276.28
O0000837,P000198,1,155.23,155.23,121.33
O0000837,P000031,2,104.78,209.56,133.04
O0000837,P000178,3,170.73,512.19,289.35
O0000837,P000041,1,87.84,87.84,51.21
O0000838,P000003,2,143.71,287.42,175.06
O0000838,P000100,1,172.57,172.57,129.51
O0000838,P000160,1,76.27,76.27,59.93
O0000838,P000045,2,177.13,354.26,246.96
O0000840,P000026,3,55.64,166.92,113.94
O0000840,P000173,2,180.17,360.34,260.76
O0000840,P000098,3,8.88,26.64,19.5
O0000840,P000217,2,180.42,360.84,249.56
O0000841,P000167,3,93.41,280.23,210.15
O0000842,P000109,1,142.01,142.01,99.22
O0000842,P000216,3,174.5,523.5,371.97
O0000845,P000049,1,86.43,86.43,53.48
O0000845,P000084,2,117.97,235.94,192.04
O0000846,P000109,3,160.16,480.48,297.66
O0000846,P000115,1,58.81,58.81,46.91
O0000846,P000070,3,133.12,399.36,302.64
O0000846,P000205,1,105.36,105.36,74.12
O0000847,P000092,2,158.09,316.18,191.16
O0000847,P000176,2,73.87,147.74,88.64
O0000847,P000065,2,184.09,368.18,270.5
O0000848,P000078,1,76.24,76.24,60.31
O0000848,P000028,3,9.84,29.52,19.2
O0000852,P000209,1,75.33,75.33,51.06
O0000852,P000053,2,105.27,210.54,155.28
O0000852,P000205,1,105.36,105.36,74.12
O0000852,P000106,1,107.24,107.24,61.88
O0000855,P000153,2,29.01,58.02,36.04
O0000855,P000007,2,37.9,75.8,58.36
O0000855,P000114,2,31.0,62.0,43.8
O0000862,P000182,2,162.81,325.62,195.32
O0000862,P000155,1,159.73,159.73,129.64
O0000862,P000108,3,12.76,38.28,30.09
O0000865,P000018,3,167.08,501.24,355.8
O0000865,P000166,1,123.53,123.53,74.06
O0000865,P000169,3,184.78,554.34,331.59
O0000865,P000014,3,142.15,426.45,279.57
O0000866,P000164,2,89.94,179.88,116.92
O0000866,P000151,3,104.27,312.81,241.95
O0000866,P000032,1,101.71,101.71,78.57
O0000866,P000122,2,61.65,123.3,87.06
O0000867,P000144,3,20.82,62.46,40.62
O0000867,P000161,3,167.58,502.74,414.54
O0000878,P000128,3,46.36,139.08,89.4
O0000878,P000034,1,159.16,159.16,123.03
