customer_id,signup_date,acquisition_channel,region,is_vip
C004934,2024-01-30,Social,North,0
C003911,2024-01-30,Organic,Central,0
C006264,2024-01-30,Social,South,0
C002193,2024-01-30,Paid Search,West,0
C003969,2024-01-30,Organic,Central,0
C004279,2024-01-30,Organic,East,0
C000716,2024-01-30,Organic,West,1
C001381,2024-01-30,Email,South,0
C005130,2024-01-30,Organic,North,0
C006815,2024-01-30,Paid Search,East,0
C001716,2024-01-30,Social,West,0
C003571,2024-01-30,Organic,East,0
C000149,2024-01-31,Social,Central,0
C002041,2024-01-31,Organic,South,0
C006855,2024-01-31,Affiliate,West,0
C007297,2024-01-31,Paid Search,North,0
C001044,2024-01-31,Paid Search,North,0
C005417,2024-01-31,Affiliate,West,0
C004538,2024-01-31,Paid Search,West,0
C003585,2024-01-31,Organic,East,0
C005089,2024-01-31,Organic,Central,1
C005935,2024-01-31,Paid Search,North,0
C005544,2024-01-31,Affiliate,West,0
C002579,2024-01-31,Paid Search,North,0
C006378,2024-01-31,Email,West,0
C000796,2024-01-31,Social,West,0
C004897,2024-01-31,Email,East,0
C007199,2024-01-31,Email,South,0
C002815,2024-02-01,Social,Central,0
C003839,2024-02-01,Paid Search,West,0
C001662,2024-02-01,Paid Search,East,0
C005070,2024-02-01,Direct,North,0
C002343,2024-02-01,Paid Search,Central,0
C008907,2024-02-01,Paid Search,Central,0
C005703,2024-02-01,Social,Central,0
C007375,2024-02-01,Social,South,0
C001790,2024-02-01,Paid Search,North,0
C001603,2024-02-01,Email,South,0
C006449,2024-02-01,Social,East,0
C008879,2024-02-02,Paid Search,South,0
C007637,2024-02-02,Organic,North,1
C006812,2024-02-02,Organic,West,0
C004974,2024-02-02,Social,Central,0
C001760,2024-02-02,Email,South,1
C000436,2024-02-02,Affiliate,West,0
C005107,2024-02-02,Affiliate,Central,0
C000882,2024-02-02,Organic,West,0
C000504,2024-02-02,Organic,West,0
C002933,2024-02-02,Social,South,0
C006017,2024-02-02,Paid Search,North,0
C001031,2024-02-02,Direct,South,0
C005186,2024-02-02,Social,West,0
C008029,2024-02-02,Social,South,1
C006174,2024-02-02,Organic,South,0
C008863,2024-02-02,Paid Search,North,0
C005481,2024-02-02,Paid Search,West,0
C008079,2024-02-02,Social,West,0
C007716,2024-02-02,Email,East,0
C002713,2024-02-02,Organic,East,0
C000563,2024-02-03,Email,East,0
C005241,2024-02-03,Paid Search,Central,0
C004255,2024-02-03,Direct,South,0
C008579,2024-02-03,Paid Search,South,0
C006428,2024-02-03,Organic,East,1
C004654,2024-02-03,Organic,East,0
C003029,2024-02-03,Email,Central,0
C003010,2024-02-03,Paid Search,North,0
C007151,2024-02-03,Paid Search,South,0
C008717,2024-02-03,Email,North,0
C001823,2024-02-03,Organic,Central,0
C001950,2024-02-03,Email,Central,0
C005682,2024-02-03,Email,West,0
C000376,2024-02-03,Affiliate,East,1
C000411,2024-02-03,Email,Central,0
C000456,2024-02-03,Organic,North,0
C006730,2024-02-03,Organic,East,0
C002752,2024-02-04,Paid Search,Central,0
C007464,2024-02-04,Organic,East,0
C000033,2024-02-04,Email,North,0
C008826,2024-02-04,Direct,Central,0
C004132,2024-02-04,Paid Search,Central,0
C005704,2024-02-04,Direct,Central,0
C007955,2024-02-04,Email,North,0
C006058,2024-02-04,Direct,West,0
C006018,2024-02-04,Organic,West,0
C003179,2024-02-04,Social,North,0
C002524,2024-02-04,Social,West,0
C006967,2024-02-04,Direct,Central,0
C000094,2024-02-04,Affiliate,South,0
C005612,2024-02-04,Paid Search,South,0
C007770,2024-02-04,Email,South,1
C002388,2024-02-04,Organic,West,0
C003807,2024-02-05,Social,West,1
C003273,2024-02-05,Affiliate,Central,0
C005664,2024-02-05,Direct,Central,0
C002254,2024-02-05,Organic,West,0
C004384,2024-02-05,Social,East,0
C008338,2024-02-05,Social,North,0
C003757,2024-02-05,Email,Central,0
C001338,2024-02-05,Organic,South,0
C008973,2024-02-05,Paid Search,South,0
C005467,2024-02-05,Affiliate,West,0
C004490,2024-02-05,Email,East,0
C003332,2024-02-05,Organic,Central,0
C002055,2024-02-05,Direct,Central,0
C005891,2024-02-05,Email,West,0
C000227,2024-02-05,Email,East,0
C005897,2024-02-06,Paid Search,East,0
C000183,2024-02-06,Paid Search,East,0
C000418,2024-02-06,Paid Search,South,0
C004941,2024-02-06,Organic,East,0
C002252,2024-02-06,Organic,West,0
C008510,2024-02-06,Affiliate,South,0
C006558,2024-02-06,Social,West,0
C007914,2024-02-06,Email,South,0
C003735,2024-02-06,Social,West,0
C000142,2024-02-06,Paid Search,West,1
C002821,2024-02-06,Organic,East,1
C001643,2024-02-06,Organic,East,0
C005024,2024-02-06,Affiliate,South,0
C007917,2024-02-06,Organic,North,0
C000195,2024-02-06,Paid Search,South,1
C007468,2024-02-06,Direct,North,1
C007262,2024-02-07,Direct,West,0
C004738,2024-02-07,Email,South,0
C003945,2024-02-07,Direct,North,0
C007452,2024-02-07,Paid Search,East,0
C001829,2024-02-07,Organic,South,1
C001459,2024-02-07,Direct,Central,0
C004196,2024-02-07,Affiliate,South,1
C005760,2024-02-07,Affiliate,West,0
C007950,2024-02-07,Paid Search,North,0
C004822,2024-02-07,Direct,East,0
C001993,2024-02-07,Paid Search,South,0
C006869,2024-02-07,Affiliate,East,0
C007303,2024-02-07,Organic,East,0
C007889,2024-02-07,Paid Search,South,0
C001329,2024-02-07,Paid Search,East,0
C007295,2024-02-07,Organic,West,0
C000508,2024-02-08,Organic,Central,0
C000968,2024-02-08,Affiliate,East,0
C001237,2024-02-08,Email,North,0
C007105,2024-02-08,Social,Central,0
C008625,2024-02-08,Email,West,0
C001099,2024-02-08,Paid Search,Central,0
C002031,2024-02-08,Affiliate,North,0
C001062,2024-02-08,Direct,North,0
C002307,2024-02-08,Organic,South,0
C003292,2024-02-08,Organic,Central,0
C007266,2024-02-08,Organic,North,0
C000557,2024-02-08,Organic,East,0
C008010,2024-02-08,Organic,South,0
C003576,2024-02-08,Affiliate,Central,0
C006035,2024-02-08,Paid Search,South,0
C003806,2024-02-09,Affiliate,North,0
C000738,2024-02-09,Organic,West,0
C004572,2024-02-09,Social,Central,0
C004335,2024-02-09,Affiliate,Central,0
C004059,2024-02-09,Social,West,0
C008157,2024-02-09,Paid Search,South,0
C007798,2024-02-09,Organic,West,0
C004469,2024-02-09,Paid Search,East,0
C007740,2024-02-09,Organic,West,0
C003659,2024-02-09,Social,South,0
C001145,2024-02-09,Paid Search,North,1
C001864,2024-02-09,Organic,North,0
C005752,2024-02-10,Affiliate,North,0
C000210,2024-02-10,Affiliate,North,1
C008168,2024-02-10,Paid Search,West,0
C006523,2024-02-10,Affiliate,North,0
C008865,2024-02-10,Social,Central,0
C001389,2024-02-10,Social,Central,0
C001882,2024-02-10,Social,West,1
C004319,2024-02-10,Direct,West,0
C001392,2024-02-10,Organic,North,1
C006908,2024-02-10,Organic,,0
C001869,2024-02-10,Affiliate,North,0
C003278,2024-02-10,Organic,West,0
C008760,2024-02-11,Direct,Central,0
C008214,2024-02-11,Email,West,0
C007901,2024-02-11,Affiliate,South,0
C003497,2024-02-11,Paid Search,South,0
C003531,2024-02-11,Social,East,0
C001000,2024-02-11,Email,North,0
C004004,2024-02-11,Social,South,0
C003351,2024-02-11,Social,South,0
C006853,2024-02-11,Organic,East,0
C007834,2024-02-11,Organic,Central,0
C000610,2024-02-11,Social,North,0
C003318,2024-02-11,Paid Search,Central,0
C004761,2024-02-11,Paid Search,North,0
C000479,2024-02-11,Social,East,0
C003304,2024-02-11,Social,North,0
C002203,2024-02-12,Paid Search,Central,0
C004848,2024-02-12,Direct,West,0
C004563,2024-02-12,Direct,Central,0
C005191,2024-02-12,Email,East,0
C003064,2024-02-12,Direct,South,0
C007712,2024-02-12,Paid Search,West,0
C004494,2024-02-12,Organic,South,0
C006383,2024-02-12,Paid Search,North,0
C008047,2024-02-12,Affiliate,West,1
C000769,2024-02-12,Paid Search,East,0
C002951,2024-02-12,Paid Search,West,0
C008671,2024-02-12,Affiliate,Central,0
C005906,2024-02-12,Organic,Central,0
C003448,2024-02-12,Affiliate,Central,0
C006434,2024-02-12,Paid Search,East,0
C007909,2024-02-12,Direct,West,0
C002340,2024-02-12,Email,West,0
C001430,2024-02-12,Paid Search,North,1
C007370,2024-02-13,Affiliate,East,0
C002908,2024-02-13,Paid Search,West,0
C007763,2024-02-13,Affiliate,Central,0
C001725,2024-02-13,Organic,West,0
C005458,2024-02-13,Social,South,0
C001179,2024-02-13,Email,South,0
C005924,2024-02-13,Email,West,1
C002477,2024-02-13,Paid Search,Central,0
C005827,2024-02-14,Social,North,0
C007783,2024-02-14,Affiliate,Central,0
C003372,2024-02-14,Paid Search,North,0
C000188,2024-02-14,Affiliate,South,0
C006466,2024-02-14,Email,West,0
C000052,2024-02-14,Paid Search,North,0
C006931,2024-02-14,Affiliate,West,0
C007835,2024-02-14,Direct,South,0
C002822,2024-02-14,Paid Search,Central,0
C005106,2024-02-14,Direct,Central,1
C003423,2024-02-14,Paid Search,South,0
C004899,2024-02-14,Direct,Central,0
C006956,2024-02-14,Affiliate,West,0
C007437,2024-02-14,Organic,Central,0
C003346,2024-02-14,Social,North,0
C000265,2024-02-14,Paid Search,West,0
C001421,2024-02-14,Social,West,0
C006397,2024-02-14,Email,East,0
C001488,2024-02-15,Direct,North,0
C006497,2024-02-15,Email,North,0
C000184,2024-02-15,Social,Central,0
C004440,2024-02-15,Social,West,0
C006354,2024-02-15,Organic,Central,0
C006997,2024-02-15,Paid Search,West,0
C005269,2024-02-15,Paid Search,North,0
C004552,2024-02-15,Social,South,0
C002691,2024-02-15,Direct,Central,0
C005749,2024-02-15,Organic,South,0
C007628,2024-02-15,Social,South,0
C002142,2024-02-15,Organic,East,0
C003021,2024-02-15,Social,North,0
C005141,2024-02-15,Social,East,1
C006485,2024-02-15,Direct,North,0
C004982,2024-02-16,Paid Search,East,0
C007766,2024-02-16,Email,East,0
C000072,2024-02-16,Paid Search,West,0
C003479,2024-02-16,Paid Search,South,0
C004003,2024-02-16,Organic,East,0
C006294,2024-02-16,Social,East,0
C005316,2024-02-16,Email,East,0
C003892,2024-02-16,Paid Search,South,0
C007902,2024-02-16,Paid Search,East,0
C008026,2024-02-16,Organic,East,0
C006727,2024-02-16,Paid Search,East,0
C008360,2024-02-16,Affiliate,East,0
C008018,2024-02-17,Paid Search,West,0
C000621,2024-02-17,Email,North,0
C003551,2024-02-17,Organic,South,0
C007232,2024-02-17,Social,North,0
C006803,2024-02-17,Paid Search,West,0
C003122,2024-02-17,Paid Search,South,0
C002306,2024-02-17,Paid Search,East,0
