order_id,customer_id,order_date,attribution_channel,status,shipping_cost,discount_amount
O0031185,C006736,2025-05-13 09:00:00,Paid Search,fulfilled,5.5,0.0
O0003423,C006523,2024-03-08 21:00:00,Direct,fulfilled,4.62,0.0
O0022268,C005735,2025-01-11 01:00:00,Affiliate,fulfilled,4.29,15.63
O0006377,C007462,2024-04-30 11:00:00,Paid Search,canceled,4.97,0.0
O0013293,C001959,2024-08-26 14:00:00,Paid Search,fulfilled,2.84,12.29
O0021006,C008281,2024-12-23 09:00:00,Paid Search,fulfilled,4.23,0.0
O0008792,C004370,2024-06-12 23:00:00,Email,fulfilled,2.88,0.0
O0012635,C005855,2024-08-16 06:00:00,Paid Search,fulfilled,3.42,16.86
O0030867,C006910,2025-05-09 00:00:00,Organic,fulfilled,1.84,0.0
O0014567,C002059,2024-09-16 11:00:00,Affiliate,fulfilled,4.2,0.0
O0012006,C008066,2024-08-06 06:00:00,Paid Search,fulfilled,3.37,3.72
O0006846,C001389,2024-05-09 01:00:00,Email,fulfilled,5.22,0.0
O0025691,C007551,2025-02-28 01:00:00,Paid Search,fulfilled,2.78,0.0
O0021122,C003665,2024-12-25 11:00:00,Direct,pending,3.15,0.0
O0019772,C007913,2024-12-05 01:00:00,Social,fulfilled,5.07,0.0
O0030847,C003784,2025-05-09 18:00:00,Email,fulfilled,3.06,14.71
O0015102,C007552,2024-09-24 09:00:00,Organic,fulfilled,5.33,0.0
O0002655,C005612,2024-02-22 23:00:00,Paid Search,fulfilled,4.51,0.0
O0025489,C005848,2025-02-25 14:00:00,Paid Search,fulfilled,4.82,0.0
O0016490,C005774,2024-10-16 20:00:00,Email,fulfilled,3.17,0.0
O0014125,C000553,2024-09-09 21:00:00,Email,fulfilled,3.67,16.64
O0004485,C001727,2024-03-27 09:00:00,Paid Search,canceled,3.17,0.0
O0023522,C002131,2025-01-29 17:00:00,Email,fulfilled,5.09,0.0
O0007577,C004293,2024-05-22 23:00:00,Organic,fulfilled,4.11,0.0
O0012249,C003203,2024-08-10 20:00:00,Organic,fulfilled,4.48,14.99
O0034956,C001248,2025-07-04 08:00:00,Email,fulfilled,3.97,0.0
O0023926,C002871,2025-02-03 15:00:00,Paid Search,fulfilled,4.44,0.0
O0001165,C002363,2024-01-25 02:00:00,Email,fulfilled,3.26,0.0
O0023593,C002777,2025-01-30 15:00:00,Organic,fulfilled,3.04,0.0
O0027588,C008033,2025-03-26 21:00:00,Paid Search,fulfilled,3.44,0.0
O0018148,C002613,2024-11-11 20:00:00,Affiliate,fulfilled,4.8,0.0
O0009008,C008973,2024-06-16 00:00:00,Email,fulfilled,3.87,18.53
O0011071,C002331,2024-07-22 13:00:00,Direct,fulfilled,2.42,0.0
O0008111,C000262,2024-05-31 10:00:00,Organic,fulfilled,5.66,0.0
O0015108,C001308,2024-09-24 18:00:00,Organic,fulfilled,4.48,14.44
O0021804,C002571,2025-01-04 04:00:00,Email,fulfilled,3.55,0.0
O0001104,C005074,2024-01-24 16:00:00,Direct,fulfilled,5.15,0.0
O0011965,C002945,2024-08-06 05:00:00,Affiliate,fulfilled,4.4,0.0
O0017528,C008049,2024-11-01 13:00:00,Organic,fulfilled,3.07,15.8
O0032416,C000247,2025-05-30 15:00:00,Paid Search,pending,3.02,15.87
O0003705,C004384,2024-03-13 04:00:00,Paid Search,fulfilled,3.09,7.03
O0010532,C000636,2024-07-13 13:00:00,Email,fulfilled,1.94,0.0
O0007840,C008539,2024-05-26 10:00:00,Social,fulfilled,4.37,0.0
O0016617,C005797,2024-10-18 07:00:00,Email,fulfilled,5.53,0.0
O0030321,C008737,2025-05-02 23:00:00,Direct,fulfilled,4.46,6.96
O0003063,C007289,2024-03-01 04:00:00,Email,fulfilled,2.56,0.0
O0028557,C006525,2025-04-09 12:00:00,Direct,fulfilled,3.95,0.0
O0029501,C002523,2025-04-21 17:00:00,Organic,fulfilled,3.68,0.0
O0005603,C004551,2024-04-16 15:00:00,Email,fulfilled,3.49,0.0
O0029475,C005866,2025-04-21 16:00:00,Email,fulfilled,2.93,0.0
O0012140,C003965,2024-08-09 21:00:00,Affiliate,fulfilled,5.57,0.0
O0034284,C003590,2025-06-26 17:00:00,Affiliate,fulfilled,4.06,0.0
O0015496,C007018,2024-09-30 09:00:00,Organic,fulfilled,2.63,13.1
O0035477,C004961,2025-07-10 09:00:00,Paid Search,fulfilled,3.39,0.0
O0017240,C005615,2024-10-27 14:00:00,Paid Search,fulfilled,2.92,0.0
O0021896,C007671,2025-01-05 15:00:00,Organic,fulfilled,3.03,15.62
O0018759,C003918,2024-11-21 20:00:00,Direct,fulfilled,5.96,0.0
O0036272,C004511,2025-07-20 09:00:00,Paid Search,fulfilled,2.75,0.0
O0005874,C008029,2024-04-20 17:00:00,Paid Search,fulfilled,5.08,0.0
O0018635,C004377,2024-11-18 22:00:00,Paid Search,canceled,2.88,0.0
O0005918,C005089,2024-04-21 00:00:00,Organic,fulfilled,3.89,0.0
O0007795,C007775,2024-05-26 21:00:00,Direct,fulfilled,4.02,0.0
O0035706,C002960,2025-07-13 21:00:00,Paid Search,fulfilled,3.55,0.0
O0025797,C003836,2025-03-02 06:00:00,Email,fulfilled,4.46,0.0
O0005760,C001029,2024-04-18 03:00:00,Social,fulfilled,3.89,0.0
O0032669,C000080,2025-06-03 07:00:00,Organic,fulfilled,4.27,0.0
O0013597,C006912,2024-08-31 04:00:00,Organic,pending,4.81,0.0
O0007218,C004228,2024-05-15 11:00:00,Paid Search,fulfilled,3.48,0.0
O0026564,C004772,2025-03-12 04:00:00,Social,fulfilled,5.07,0.0
O0012300,C005720,2024-08-11 21:00:00,Email,fulfilled,2.98,0.0
O0029570,C006286,2025-04-22 12:00:00,Email,fulfilled,4.45,0.0
O0023570,C001385,2025-01-30 04:00:00,Affiliate,fulfilled,3.69,0.0
O0027815,C006951,2025-03-29 14:00:00,Paid Search,fulfilled,3.46,10.84
O0012314,C005893,2024-08-11 11:00:00,Organic,fulfilled,6.28,0.0
O0026844,C003641,2025-03-16 00:00:00,Paid Search,fulfilled,2.61,0.0
O0004565,C007763,2024-03-29 09:00:00,Email,fulfilled,4.7,0.0
O0005184,C007882,2024-04-09 14:00:00,Direct,fulfilled,5.67,0.0
O0010552,C003531,2024-07-13 18:00:00,Organic,fulfilled,2.75,0.0
O0017131,C006254,2024-10-26 18:00:00,Affiliate,fulfilled,3.91,0.0
O0010740,C008578,2024-07-16 21:00:00,Organic,fulfilled,2.89,0.0
O0024698,C006987,2025-02-15 14:00:00,Affiliate,fulfilled,5.4,12.07
O0025152,C002412,2025-02-21 19:00:00,Affiliate,fulfilled,3.2,0.0
O0022437,C000323,2025-01-13 12:00:00,Email,fulfilled,3.08,0.0
O0011282,C005235,2024-07-25 05:00:00,Social,fulfilled,2.94,0.0
O0000030,C005074,2024-01-01 12:00:00,Social,fulfilled,5.22,0.0
O0018802,C003635,2024-11-21 05:00:00,Paid Search,fulfilled,6.17,0.0
O0021106,C005704,2024-12-24 12:00:00,Social,fulfilled,4.03,17.82
O0009013,C000577,2024-06-16 20:00:00,Email,fulfilled,5.67,0.0
O0018012,C002101,2024-11-09 06:00:00,Affiliate,fulfilled,5.13,0.0
O0036877,C004791,2025-07-28 17:00:00,Organic,fulfilled,5.67,0.0
O0021165,C004505,2024-12-25 18:00:00,Paid Search,fulfilled,4.43,16.13
O0029261,C001255,2025-04-18 22:00:00,Organic,fulfilled,3.63,0.0
O0008922,C001166,2024-06-14 17:00:00,Paid Search,fulfilled,4.02,0.0
O0015166,C007600,2024-09-25 04:00:00,Organic,fulfilled,4.47,18.96
O0008384,C001024,2024-06-05 00:00:00,Organic,fulfilled,4.3,0.0
O0021679,C007551,2025-01-02 17:00:00,Organic,fulfilled,5.86,14.57
O0014893,C007151,2024-09-21 04:00:00,Organic,fulfilled,2.77,0.0
O0029595,C004373,2025-04-22 08:00:00,Paid Search,fulfilled,2.59,0.0
O0016834,C002818,2024-10-21 23:00:00,Email,fulfilled,3.47,0.0
O0011209,C004770,2024-07-24 12:00:00,Paid Search,fulfilled,3.7,0.0
O0010192,C000097,2024-07-07 15:00:00,Email,fulfilled,3.08,0.0
O0031556,C006479,2025-05-18 22:00:00,Organic,fulfilled,4.82,0.0
O0010687,C003760,2024-07-15 18:00:00,Organic,fulfilled,4.23,0.0
O0021596,C002017,2025-01-01 09:00:00,Email,fulfilled,3.97,2.14
O0023447,C004543,2025-01-28 03:00:00,Direct,canceled,5.28,0.0
O0003897,C002597,2024-03-17 18:00:00,Affiliate,fulfilled,1.43,10.3
O0032421,C005281,2025-05-30 12:00:00,Paid Search,fulfilled,3.94,13.24
O0016748,C005314,2024-10-19 18:00:00,Paid Search,fulfilled,4.36,0.0
O0035939,C000183,2025-07-16 07:00:00,Organic,fulfilled,2.69,0.0
O0025880,C002164,2025-03-03 19:00:00,Organic,fulfilled,4.08,0.0
O0027145,C005682,2025-03-20 01:00:00,Social,fulfilled,3.73,0.0
O0003321,C007909,2024-03-05 00:00:00,Social,fulfilled,2.94,2.48
O0011232,C008426,2024-07-25 06:00:00,Direct,fulfilled,3.23,0.0
O0008276,C005788,2024-06-03 18:00:00,Paid Search,fulfilled,4.4,0.0
O0016124,C002319,2024-10-11 04:00:00,Affiliate,fulfilled,4.62,0.0
O0031936,C002568,2025-05-23 18:00:00,Paid Search,fulfilled,4.0,0.0
O0026290,C002041,2025-03-09 05:00:00,Affiliate,fulfilled,3.66,8.77
O0027180,C005341,2025-03-21 10:00:00,Email,fulfilled,3.67,0.0
O0003247,C004692,2024-03-04 22:00:00,Organic,fulfilled,4.72,0.0
O0027044,C003586,2025-03-19 16:00:00,Organic,fulfilled,3.48,0.0
O0009737,C005897,2024-06-29 03:00:00,Email,fulfilled,4.9,0.0
O0009492,C005791,2024-06-25 11:00:00,Email,fulfilled,3.95,0.0
O0019333,C007886,2024-11-29 14:00:00,Social,fulfilled,4.43,0.0
O0009244,C003055,2024-06-20 11:00:00,Paid Search,fulfilled,3.82,3.65
O0007251,C007639,2024-05-16 00:00:00,Organic,fulfilled,2.44,0.0
O0010166,C004513,2024-07-06 23:00:00,Paid Search,fulfilled,4.67,0.0
O0000489,C002017,2024-01-11 19:00:00,Organic,fulfilled,4.98,0.0
O0002473,C007296,2024-02-18 00:00:00,Paid Search,canceled,5.58,0.0
O0029878,C007921,2025-04-26 08:00:00,Paid Search,fulfilled,3.38,17.82
O0003929,C007117,2024-03-17 22:00:00,Organic,fulfilled,3.22,0.0
O0007985,C002690,2024-05-29 02:00:00,Direct,fulfilled,5.8,0.0
O0035121,C000386,2025-07-06 12:00:00,Organic,fulfilled,2.67,7.97
O0017690,C002782,2024-11-04 04:00:00,Affiliate,fulfilled,5.03,0.0
O0013729,C008412,2024-09-02 05:00:00,Organic,fulfilled,2.3,0.0
O0004224,C004934,2024-03-22 19:00:00,Paid Search,fulfilled,3.94,9.15
O0021656,C008972,2025-01-02 12:00:00,Email,fulfilled,6.35,3.78
O0034828,C007762,2025-07-02 13:00:00,Paid Search,fulfilled,3.89,0.0
O0018280,C004039,2024-11-13 05:00:00,Email,fulfilled,3.95,0.0
O0019850,C008011,2024-12-07 03:00:00,Affiliate,fulfilled,3.06,10.97
O0033936,C007762,2025-06-21 22:00:00,Email,fulfilled,3.21,0.0
O0036425,C002446,2025-07-22 08:00:00,Social,fulfilled,3.67,5.43
O0014472,C003341,2024-09-14 18:00:00,Paid Search,fulfilled,3.09,0.0
O0023736,C006631,2025-02-01 04:00:00,Email,fulfilled,3.57,0.0
O0006813,C007473,2024-05-08 08:00:00,Paid Search,pending,5.29,0.0
O0035681,C008233,2025-07-13 00:00:00,Organic,fulfilled,4.9,0.0
O0014215,C007399,2024-09-10 08:00:00,Organic,fulfilled,4.79,0.0
O0025799,C006049,2025-03-02 10:00:00,Email,fulfilled,3.39,0.0
O0009117,C004205,2024-06-18 09:00:00,Email,fulfilled,3.45,0.0
O0036975,C004359,2025-07-29 13:00:00,Paid Search,fulfilled,4.81,0.0
O0002224,C001603,2024-02-13 00:00:00,Paid Search,fulfilled,4.37,0.0
O0000508,C006585,2024-01-11 21:00:00,Paid Search,pending,4.57,0.0
O0035893,C002712,2025-07-16 05:00:00,Direct,fulfilled,3.46,0.0
O0032865,C005965,2025-06-06 23:00:00,Email,fulfilled,2.89,6.9
O0033584,C008349,2025-06-15 12:00:00,Social,fulfilled,4.49,13.31
O0019222,C001815,2024-11-27 20:00:00,Paid Search,fulfilled,4.51,7.1
O0029867,C006720,2025-04-26 12:00:00,Organic,fulfilled,3.64,0.0
O0007989,C000244,2024-05-29 04:00:00,Email,fulfilled,2.21,0.0
O0004123,C006630,2024-03-21 02:00:00,Direct,fulfilled,3.09,4.99
O0029414,C001598,2025-04-20 21:00:00,Paid Search,fulfilled,3.85,17.95
O0004256,C005658,2024-03-23 18:00:00,Organic,fulfilled,3.86,9.1
O0006242,C000468,2024-04-27 02:00:00,Social,fulfilled,5.53,0.0
O0019538,C004961,2024-12-02 21:00:00,Organic,fulfilled,2.62,6.51
O0037016,C008998,2025-07-30 22:00:00,Email,fulfilled,4.76,0.0
O0007449,C005892,2024-05-20 22:00:00,Direct,fulfilled,4.78,12.0
O0004352,C005306,2024-03-25 02:00:00,Email,fulfilled,3.15,0.0
O0002435,C007110,2024-02-17 23:00:00,Social,fulfilled,4.8,9.51
O0034322,C005657,2025-06-26 00:00:00,Organic,fulfilled,4.31,0.0
O0007063,C004228,2024-05-13 06:00:00,Direct,fulfilled,4.17,0.0
O0003571,C003917,2024-03-11 07:00:00,Affiliate,fulfilled,4.74,3.06
O0028585,C007262,2025-04-09 16:00:00,Email,fulfilled,3.1,0.0
O0016329,C005456,2024-10-13 00:00:00,Social,canceled,4.24,6.0
O0030871,C004662,2025-05-09 22:00:00,Organic,fulfilled,2.87,3.92
O0036552,C006641,2025-07-24 21:00:00,Email,fulfilled,3.77,0.0
O0032698,C001328,2025-06-04 19:00:00,Affiliate,canceled,1.99,0.0
O0004355,C005337,2024-03-25 02:00:00,Email,fulfilled,3.82,0.0
O0032487,C006174,2025-05-31 02:00:00,Social,fulfilled,4.45,0.0
O0001744,C006362,2024-02-04 23:00:00,Paid Search,fulfilled,5.6,0.0
O0037143,C005967,2025-07-31 23:00:00,Paid Search,fulfilled,3.24,2.12
O0034521,C005528,2025-06-29 22:00:00,Direct,fulfilled,3.26,0.0
O0031310,C000269,2025-05-15 06:00:00,Organic,fulfilled,4.29,0.0
O0026284,C005355,2025-03-08 19:00:00,Social,fulfilled,4.15,0.0
O0003831,C007714,2024-03-15 18:00:00,Paid Search,fulfilled,5.73,0.0
O0025048,C007202,2025-02-19 16:00:00,Organic,fulfilled,5.34,15.16
O0007676,C002880,2024-05-24 07:00:00,Affiliate,fulfilled,5.65,0.0
O0015191,C007834,2024-09-25 19:00:00,Paid Search,fulfilled,3.01,0.0
O0014974,C008500,2024-09-22 00:00:00,Email,fulfilled,3.73,0.0
O0029034,C008050,2025-04-15 17:00:00,Organic,fulfilled,3.63,0.0
O0022082,C004971,2025-01-08 04:00:00,Organic,fulfilled,4.32,15.72
O0008471,C002274,2024-06-06 12:00:00,Paid Search,fulfilled,2.33,0.0
O0020363,C008073,2024-12-14 06:00:00,Paid Search,fulfilled,5.06,0.0
O0017106,C003471,2024-10-25 13:00:00,Organic,fulfilled,3.17,0.0
O0006835,C007247,2024-05-08 15:00:00,Social,fulfilled,4.27,0.0
O0004027,C002316,2024-03-19 19:00:00,Email,fulfilled,4.3,0.0
O0030245,C005400,2025-05-01 14:00:00,Email,fulfilled,2.69,0.0
O0026488,C007476,2025-03-11 18:00:00,Social,fulfilled,3.48,0.0
O0031943,C004650,2025-05-23 12:00:00,Social,fulfilled,5.72,0.0
O0009121,C000170,2024-06-18 13:00:00,Email,fulfilled,3.61,17.27
O0012104,C002594,2024-08-08 00:00:00,Organic,fulfilled,3.3,0.0
O0022129,C007570,2025-01-08 06:00:00,Social,fulfilled,5.11,4.4
O0025501,C001771,2025-02-25 07:00:00,Social,fulfilled,3.71,0.0
O0006128,C002579,2024-04-25 18:00:00,Paid Search,fulfilled,3.79,0.0
O0021593,C007763,2025-01-01 06:00:00,Email,fulfilled,4.68,0.0
O0025312,C007766,2025-02-23 09:00:00,Email,fulfilled,3.42,0.0
O0034045,C007050,2025-06-22 07:00:00,Organic,fulfilled,2.87,0.0
O0023081,C000459,2025-01-22 12:00:00,Paid Search,fulfilled,4.4,0.0
O0012719,C004796,2024-08-17 21:00:00,Paid Search,fulfilled,3.26,0.0
O0005782,C008782,2024-04-19 02:00:00,Email,fulfilled,5.64,0.0
O0018095,C003908,2024-11-10 14:00:00,Email,fulfilled,3.86,0.0
O0034814,C003799,2025-07-02 11:00:00,Paid Search,fulfilled,3.41,0.0
O0019606,C003856,2024-12-03 03:00:00,Paid Search,canceled,5.21,0.0
O0025582,C006120,2025-02-27 17:00:00,Direct,fulfilled,4.7,0.0
O0003298,C000240,2024-03-05 01:00:00,Organic,fulfilled,3.59,0.0
O0017364,C005512,2024-10-29 20:00:00,Organic,fulfilled,4.25,0.0
O0019983,C007446,2024-12-08 15:00:00,Paid Search,fulfilled,3.87,0.0
O0023307,C005226,2025-01-26 14:00:00,Direct,fulfilled,4.38,11.64
O0015935,C002257,2024-10-07 01:00:00,Social,fulfilled,3.34,18.93
O0022398,C005372,2025-01-12 22:00:00,Paid Search,fulfilled,3.65,0.0
O0000056,C002459,2024-01-02 13:00:00,Organic,fulfilled,2.7,19.64
O0010520,C007297,2024-07-13 04:00:00,Affiliate,fulfilled,4.25,0.0
O0019580,C003274,2024-12-03 22:00:00,Email,fulfilled,4.95,0.0
O0031134,C004645,2025-05-13 14:00:00,Affiliate,fulfilled,3.15,0.0
O0034461,C003618,2025-06-28 08:00:00,Email,fulfilled,4.26,0.0
O0018641,C001715,2024-11-18 20:00:00,Paid Search,fulfilled,5.57,0.0
O0013265,C008730,2024-08-26 10:00:00,Email,fulfilled,3.42,13.49
O0003032,C004896,2024-02-29 06:00:00,Organic,fulfilled,3.36,0.0
O0009379,C004098,2024-06-23 23:00:00,Email,fulfilled,3.72,13.34
O0024182,C001100,2025-02-07 23:00:00,Paid Search,fulfilled,5.31,19.57
O0001666,C001166,2024-02-03 22:00:00,Email,pending,4.22,0.0
O0012429,C008836,2024-08-13 13:00:00,Email,fulfilled,4.49,0.0
O0001504,C002000,2024-01-31 23:00:00,Paid Search,fulfilled,4.09,9.61
O0034002,C008078,2025-06-21 12:00:00,Social,fulfilled,3.82,0.0
O0030359,C000032,2025-05-02 23:00:00,Paid Search,fulfilled,4.22,0.0
O0024946,C000602,2025-02-18 13:00:00,Direct,fulfilled,1.78,0.0
O0034718,C005007,2025-07-01 22:00:00,Email,fulfilled,4.38,13.88
O0017271,C002032,2024-10-28 19:00:00,Affiliate,fulfilled,5.48,0.0
O0014313,C007483,2024-09-12 14:00:00,Email,fulfilled,3.33,0.0
O0026286,C008699,2025-03-09 21:00:00,Affiliate,fulfilled,4.19,0.0
O0027620,C000213,2025-03-27 22:00:00,Direct,fulfilled,2.08,5.75
O0008339,C008950,2024-06-04 03:00:00,Organic,fulfilled,3.93,0.0
O0022399,C003600,2025-01-12 02:00:00,Paid Search,fulfilled,3.49,11.05
O0014958,C004027,2024-09-22 00:00:00,Direct,fulfilled,4.29,0.0
O0018339,C000975,2024-11-14 21:00:00,Email,fulfilled,3.85,0.0
O0001145,C007606,2024-01-24 02:00:00,Social,fulfilled,3.5,15.31
O0014341,C007760,2024-09-12 08:00:00,Paid Search,fulfilled,5.5,0.0
O0035736,C004201,2025-07-14 03:00:00,Direct,fulfilled,4.23,15.56
O0001461,C002569,2024-01-30 06:00:00,Paid Search,fulfilled,4.53,0.0
O0015902,C005186,2024-10-07 13:00:00,Email,fulfilled,4.0,0.0
O0004913,C001708,2024-04-04 04:00:00,Email,fulfilled,5.84,18.32
O0009122,C005508,2024-06-18 07:00:00,Email,fulfilled,5.7,0.0
O0027697,C005373,2025-03-28 03:00:00,Direct,fulfilled,4.49,7.01
O0035277,C003957,2025-07-08 13:00:00,Email,fulfilled,2.51,9.12
O0008787,C007346,2024-06-12 06:00:00,Direct,fulfilled,2.55,0.0
O0004376,C004822,2024-03-25 01:00:00,Paid Search,fulfilled,5.34,0.0
O0030005,C004502,2025-04-28 08:00:00,Direct,fulfilled,4.84,0.0
O0008496,C007924,2024-06-07 07:00:00,Email,fulfilled,4.9,17.29
O0026885,C000945,2025-03-17 05:00:00,Email,fulfilled,2.35,0.0
O0020458,C000072,2024-12-16 18:00:00,Affiliate,fulfilled,3.71,17.07
O0005115,C000262,2024-04-07 03:00:00,Paid Search,fulfilled,5.3,0.0
O0024785,C004360,2025-02-15 04:00:00,Social,fulfilled,6.03,0.0
O0002707,C004766,2024-02-23 20:00:00,Organic,fulfilled,4.25,0.0
O0006084,C003968,2024-04-24 19:00:00,Social,fulfilled,4.58,0.0
O0000564,C007034,2024-01-12 23:00:00,Paid Search,fulfilled,4.51,11.88
O0003821,C007477,2024-03-15 19:00:00,Paid Search,fulfilled,6.34,0.0
O0009777,C000023,2024-06-29 18:00:00,Social,fulfilled,4.47,0.0
O0008010,C004721,2024-05-29 06:00:00,Paid Search,fulfilled,3.58,10.39
O0016715,C007575,2024-10-19 15:00:00,Organic,fulfilled,3.6,0.0
O0021625,C004307,2025-01-01 04:00:00,Paid Search,canceled,4.65,0.0
O0022267,C008623,2025-01-11 00:00:00,Affiliate,fulfilled,4.34,0.0
O0035858,C004159,2025-07-15 01:00:00,Paid Search,fulfilled,5.45,0.0
O0006556,C001389,2024-05-04 07:00:00,Affiliate,fulfilled,4.3,6.46
O0023956,C004507,2025-02-04 07:00:00,Email,fulfilled,3.52,13.28
O0019148,C007238,2024-11-26 08:00:00,Paid Search,fulfilled,4.88,0.0
O0035715,C008210,2025-07-13 15:00:00,Social,fulfilled,5.22,0.0
O0010162,C008044,2024-07-06 19:00:00,Paid Search,fulfilled,3.98,0.0
O0034921,C003846,2025-07-04 09:00:00,Affiliate,fulfilled,3.4,14.16
O0013812,C007595,2024-09-03 03:00:00,Social,fulfilled,4.16,0.0
O0003823,C005777,2024-03-15 16:00:00,Paid Search,fulfilled,4.8,0.0
O0003464,C000411,2024-03-08 14:00:00,Social,fulfilled,4.45,19.34
O0014683,C008906,2024-09-17 14:00:00,Paid Search,fulfilled,3.59,0.0
O0017928,C003388,2024-11-07 06:00:00,Paid Search,fulfilled,4.32,0.0
O0010620,C000326,2024-07-14 15:00:00,Organic,fulfilled,2.23,0.0
O0034129,C007662,2025-06-23 16:00:00,Paid Search,fulfilled,4.02,0.0
O0008233,C007924,2024-06-02 05:00:00,Paid Search,fulfilled,3.57,0.0
O0025397,C001669,2025-02-24 08:00:00,Email,fulfilled,5.15,0.0
O0007672,C002884,2024-05-23 04:00:00,Social,fulfilled,3.03,0.0
O0025886,C006599,2025-03-03 04:00:00,Organic,fulfilled,3.68,0.0
O0031770,C000916,2025-05-21 05:00:00,Organic,fulfilled,3.95,0.0
O0015148,C002807,2024-09-25 17:00:00,Email,fulfilled,3.97,0.0
O0026175,C001283,2025-03-07 13:00:00,Paid Search,fulfilled,5.82,9.2
O0031728,C000987,2025-05-21 04:00:00,Affiliate,fulfilled,3.85,10.29
O0006676,C007068,2024-05-05 16:00:00,Paid Search,fulfilled,4.16,0.0
O0032353,C006902,2025-05-29 23:00:00,Paid Search,fulfilled,2.73,0.0
O0009193,C000062,2024-06-19 02:00:00,Organic,fulfilled,4.33,0.0
O0003917,C005162,2024-03-17 07:00:00,Email,fulfilled,3.37,0.0
O0023306,C002452,2025-01-26 02:00:00,Direct,fulfilled,2.66,0.0
O0021688,C005024,2025-01-02 09:00:00,Paid Search,fulfilled,3.73,0.0
O0033996,C003745,2025-06-21 00:00:00,Paid Search,fulfilled,5.61,0.0
O0034273,C005536,2025-06-25 18:00:00,Paid Search,fulfilled,3.71,0.0
O0036846,C003989,2025-07-28 10:00:00,Direct,fulfilled,4.1,0.0
O0007029,C006663,2024-05-12 13:00:00,Organic,fulfilled,3.01,0.0
O0014548,C001270,2024-09-15 18:00:00,Paid Search,fulfilled,5.2,0.0
O0023051,C003153,2025-01-22 09:00:00,Direct,fulfilled,4.88,0.0
O0030531,C000020,2025-05-04 08:00:00,Social,fulfilled,2.58,0.0
O0021941,C000011,2025-01-06 00:00:00,Direct,fulfilled,5.38,0.0
O0030140,C008355,2025-04-29 02:00:00,Paid Search,canceled,4.46,0.0
O0027599,C000673,2025-03-26 04:00:00,Social,fulfilled,5.51,0.0
O0011317,C005361,2024-07-26 10:00:00,Organic,fulfilled,4.94,0.0
O0003235,C007266,2024-03-04 15:00:00,Email,fulfilled,5.4,0.0
O0027338,C004623,2025-03-23 04:00:00,Paid Search,fulfilled,2.59,0.0
O0025273,C000501,2025-02-22 09:00:00,Paid Search,fulfilled,3.19,0.0
O0001495,C003527,2024-01-31 21:00:00,Organic,fulfilled,2.92,0.0
O0016626,C000164,2024-10-18 15:00:00,Email,fulfilled,3.92,0.0
O0029718,C007206,2025-04-24 03:00:00,Organic,fulfilled,5.33,4.49
O0012394,C001430,2024-08-12 23:00:00,Paid Search,fulfilled,4.57,0.0
O0030619,C001803,2025-05-06 05:00:00,Email,fulfilled,4.8,0.0
O0020803,C001405,2024-12-21 00:00:00,Affiliate,fulfilled,6.4,0.0
O0028943,C007644,2025-04-14 14:00:00,Email,fulfilled,3.63,14.33
O0031962,C005635,2025-05-24 07:00:00,Email,fulfilled,2.99,10.11
