return_id,order_id,product_id,quantity,refund_amount,return_date,reason
R0004677,O0004677,P000063,1,116.15,2024-04-07,Changed mind
R0002540,O0002540,P000086,1,58.31,2024-03-07,Late delivery
R0018239,O0018239,P000175,1,179.57,2024-12-07,Late delivery
R0015719,O0015719,P000060,1,19.54,2024-10-24,Defective
R0022252,O0022252,P000070,2,266.24,2025-02-03,Late delivery
R0018404,O0018404,P000143,1,118.23,2024-12-06,Changed mind
R0032817,O0032817,P000058,2,222.24,2025-06-07,Changed mind
R0023378,O0023378,P000058,1,111.12,2025-02-09,Too small
R0021103,O0021103,P000065,2,326.3,2025-01-12,Defective
R0022061,O0022061,P000129,1,191.34,2025-02-01,Defective
R0013452,O0013452,P000123,2,26.68,2024-09-12,Too small
R0004116,O0004116,P000104,1,145.45,2024-04-17,Late delivery
R0002532,O0002532,P000099,2,178.98,2024-03-06,Defective
R0022280,O0022280,P000006,1,112.11,2025-01-17,Late delivery
R0035247,O0035247,P000147,3,481.29,2025-07-21,Defective
R0011908,O0011908,P000211,1,119.09,2024-08-28,Late delivery
R0031821,O0031821,P000003,1,126.03,2025-06-16,Late delivery
R0017594,O0017594,P000082,1,108.66,2024-11-15,Wrong item
R0037000,O0037000,P000194,1,182.77,2025-08-10,Late delivery
R0035741,O0035741,P000057,1,173.82,2025-07-26,Changed mind
R0032770,O0032770,P000149,1,166.48,2025-06-16,Late delivery
R0024477,O0024477,P000129,1,191.34,2025-02-28,Changed mind
R0005827,O0005827,P000154,3,361.56,2024-04-26,Wrong item
R0032414,O0032414,P000164,1,97.51,2025-06-20,Defective
R0006836,O0006836,P000206,3,205.74,2024-05-10,Wrong item
R0024239,O0024239,P000041,2,175.68,2025-02-12,Changed mind
R0028581,O0028581,P000051,1,59.73,2025-04-12,Defective
R0012465,O0012465,P000168,1,59.75,2024-08-24,Defective
R0013372,O0013372,P000201,2,93.04,2024-08-31,Wrong item
R0012136,O0012136,P000145,1,87.36,2024-08-26,Changed mind
R0025256,O0025256,P000128,3,139.08,2025-03-08,Defective
R0014598,O0014598,P000145,1,87.36,2024-10-08,Changed mind
R0018599,O0018599,P000144,3,62.46,2024-11-25,Too small
R0012070,O0012070,P000072,1,31.58,2024-08-20,Late delivery
R0003622,O0003622,P000177,1,130.6,2024-04-03,Too small
R0025105,O0025105,P000211,1,122.08,2025-03-01,Late delivery
R0036062,O0036062,P000100,2,345.14,2025-08-09,Late delivery
R0015696,O0015696,P000018,1,167.08,2024-10-22,Wrong item
R0036453,O0036453,P000201,1,46.52,2025-07-28,Too small
R0034422,O0034422,P000113,1,114.6,2025-07-22,Late delivery
R0006129,O0006129,P000133,1,187.12,2024-05-01,Too small
R0007757,O0007757,P000134,2,209.0,2024-06-09,Wrong item
R0024298,O0024298,P000185,1,181.06,2025-02-28,Late delivery
R0023256,O0023256,P000156,1,152.88,2025-02-19,Too small
R0011103,O0011103,P000058,2,222.24,2024-08-12,Changed mind
R0002620,O0002620,P000129,1,181.34,2024-03-16,Late delivery
R0002744,O0002744,P000118,1,142.59,2024-03-02,Too small
R0029053,O0029053,P000172,1,183.34,2025-04-21,Changed mind
R0002133,O0002133,P000094,2,204.14,2024-02-24,Too small
R0013228,O0013228,P000049,3,259.29,2024-09-23,Defective
R0017346,O0017346,P000022,3,516.96,2024-11-03,Defective
R0028056,O0028056,P000106,1,97.88,2025-04-30,Late delivery
R0001378,O0001378,P000015,1,147.5,2024-02-26,Defective
R0019968,O0019968,P000056,2,423.82,2024-12-11,Too small
R0015142,O0015142,P000220,1,129.23,2024-09-28,Too small
R0028084,O0028084,P000112,1,7.78,2025-04-20,Too small
R0028928,O0028928,P000140,1,129.81,2025-05-02,Defective
R0023220,O0023220,P000055,1,103.25,2025-02-20,Late delivery
R0013290,O0013290,P000185,2,362.12,2024-09-23,Too small
R0009623,O0009623,P000108,1,12.76,2024-07-09,Wrong item
R0036647,O0036647,P000125,1,126.51,2025-08-23,Wrong item
R0019515,O0019515,P000108,1,12.76,2024-12-26,Defective
R0006279,O0006279,P000089,3,627.12,2024-05-16,Late delivery
R0023312,O0023312,P000108,1,12.76,2025-02-06,Late delivery
R0015922,O0015922,P000010,1,91.65,2024-10-24,Too small
R0014804,O0014804,P000036,1,146.96,2024-09-26,Too small
R0015471,O0015471,P000045,2,354.26,2024-10-10,Changed mind
R0015558,O0015558,P000173,1,180.17,2024-10-25,Late delivery
R0023577,O0023577,P000024,1,110.76,2025-02-23,Too small
R0002172,O0002172,P000168,1,59.75,2024-03-06,Late delivery
R0003909,O0003909,P000211,2,244.16,2024-04-08,Defective
R0016095,O0016095,P000156,1,134.83,2024-10-21,Changed mind
R0033703,O0033703,P000068,2,37.78,2025-07-07,Late delivery
R0019426,O0019426,P000214,3,43.02,2024-12-26,Too small
R0007542,O0007542,P000090,1,115.66,2024-05-28,Wrong item
R0033313,O0033313,P000152,1,46.95,2025-07-10,Changed mind
R0015275,O0015275,P000213,1,125.43,2024-10-24,Too small
R0013313,O0013313,P000123,2,26.68,2024-09-13,Too small
R0015386,O0015386,P000015,2,309.06,2024-10-26,Defective
R0009783,O0009783,P000219,2,231.62,2024-07-04,Defective
R0021240,O0021240,P000106,2,214.48,2025-01-15,Changed mind
R0012462,O0012462,P000170,2,193.6,2024-08-18,Wrong item
R0019383,O0019383,P000167,3,280.23,2024-12-15,Wrong item
R0025566,O0025566,P000205,1,105.36,2025-03-14,Too small
R0023608,O0023608,P000015,1,154.53,2025-02-19,Late delivery
R0033329,O0033329,P000199,2,100.86,2025-07-08,Too small
R0010087,O0010087,P000079,2,227.22,2024-07-11,Defective
R0028245,O0028245,P000217,1,180.42,2025-04-30,Defective
R0019488,O0019488,P000047,1,211.23,2024-12-06,Defective
R0022317,O0022317,P000151,1,104.27,2025-01-20,Defective
R0024985,O0024985,P000157,2,104.38,2025-03-18,Too small
R0014058,O0014058,P000135,2,266.64,2024-10-04,Wrong item
R0021212,O0021212,P000011,1,199.49,2024-12-31,Defective
R0015532,O0015532,P000182,1,162.81,2024-10-21,Late delivery
R0018780,O0018780,P000155,2,319.46,2024-12-05,Late delivery
R0016693,O0016693,P000179,1,22.51,2024-11-01,Too small
R0006089,O0006089,P000207,1,180.55,2024-05-12,Late delivery
R0030824,O0030824,P000030,2,174.06,2025-06-06,Too small
R0004467,O0004467,P000200,1,71.12,2024-04-14,Too small
R0019821,O0019821,P000043,1,9.11,2024-12-27,Defective
R0026656,O0026656,P000122,2,136.88,2025-03-17,Defective
R0016972,O0016972,P000042,2,307.26,2024-11-04,Late delivery
R0031654,O0031654,P000135,2,285.06,2025-06-08,Too small
R0012327,O0012327,P000154,1,114.74,2024-09-01,Too small
R0001464,O0001464,P000172,1,183.34,2024-02-07,Defective
R0021717,O0021717,P000202,3,201.66,2025-01-12,Defective
R0020870,O0020870,P000057,2,347.64,2025-01-16,Changed mind
R0009817,O0009817,P000041,1,87.84,2024-07-27,Changed mind
R0013932,O0013932,P000056,1,211.91,2024-09-17,Changed mind
R0016897,O0016897,P000194,1,182.77,2024-11-18,Defective
R0009400,O0009400,P000163,1,62.87,2024-06-28,Late delivery
R0026933,O0026933,P000165,1,35.61,2025-04-08,Wrong item
R0022926,O0022926,P000170,1,96.8,2025-01-24,Too small
R0016338,O0016338,P000206,1,62.36,2024-10-21,Too small
R0013038,O0013038,P000006,1,127.78,2024-08-31,Changed mind
R0000278,O0000278,P000007,1,37.9,2024-01-17,Defective
R0008776,O0008776,P000111,3,262.83,2024-06-16,Wrong item
R0035090,O0035090,P000175,2,359.14,2025-07-23,Wrong item
R0016751,O0016751,P000176,1,73.87,2024-11-03,Too small
R0011058,O0011058,P000133,1,187.12,2024-08-09,Changed mind
R0009028,O0009028,P000071,1,13.16,2024-06-30,Defective
R0020100,O0020100,P000075,1,39.15,2024-12-26,Late delivery
R0016418,O0016418,P000024,1,110.76,2024-10-30,Changed mind
R0032930,O0032930,P000080,1,50.15,2025-06-09,Defective
R0011255,O0011255,P000119,1,139.19,2024-08-22,Too small
R0022038,O0022038,P000113,1,130.31,2025-01-28,Late delivery
R0015280,O0015280,P000077,1,54.81,2024-10-18,Wrong item
R0019040,O0019040,P000143,3,336.84,2024-11-30,Too small
R0027477,O0027477,P000203,2,337.7,2025-04-18,Wrong item
R0005375,O0005375,P000144,2,41.64,2024-04-22,Late delivery
R0016032,O0016032,P000218,2,78.86,2024-10-15,Defective
R0023364,O0023364,P000020,2,43.96,2025-02-13,Defective
R0002385,O0002385,P000043,2,18.22,2024-03-06,Changed mind
R0026815,O0026815,P000159,2,387.16,2025-03-31,Wrong item
R0007718,O0007718,P000095,2,329.18,2024-06-19,Wrong item
R0026260,O0026260,P000157,1,52.19,2025-03-28,Changed mind
R0015352,O0015352,P000059,3,127.2,2024-09-30,Late delivery
R0018497,O0018497,P000041,2,175.68,2024-11-23,Changed mind
R0009234,O0009234,P000056,3,635.73,2024-06-26,Changed mind
R0034965,O0034965,P000206,1,68.58,2025-07-19,Changed mind
R0010469,O0010469,P000068,1,17.68,2024-08-06,Defective
R0017382,O0017382,P000082,1,108.66,2024-11-22,Late delivery
R0017263,O0017263,P000029,1,23.05,2024-11-21,Defective
R0025297,O0025297,P000101,2,179.9,2025-03-09,Late delivery
R0003773,O0003773,P000150,1,122.07,2024-04-10,Wrong item
R0025660,O0025660,P000213,1,125.43,2025-03-02,Changed mind
R0028587,O0028587,P000151,1,104.27,2025-05-02,Wrong item
R0013656,O0013656,P000146,2,337.08,2024-09-29,Late delivery
R0027117,O0027117,P000105,1,64.7,2025-04-11,Wrong item
R0035634,O0035634,P000216,1,174.5,2025-07-16,Late delivery
R0002226,O0002226,P000023,1,100.61,2024-02-20,Too small
R0012603,O0012603,P000213,1,108.05,2024-08-21,Late delivery
R0032443,O0032443,P000177,1,116.75,2025-06-06,Wrong item
R0017297,O0017297,P000160,1,76.27,2024-11-08,Late delivery
R0023318,O0023318,P000046,1,181.44,2025-02-15,Changed mind
R0003968,O0003968,P000153,1,27.81,2024-04-03,Wrong item
R0004714,O0004714,P000092,1,158.09,2024-04-06,Wrong item
R0033220,O0033220,P000061,1,67.98,2025-06-17,Too small
R0033551,O0033551,P000006,1,127.78,2025-06-29,Wrong item
R0007280,O0007280,P000154,2,250.18,2024-05-31,Too small
R0019204,O0019204,P000074,1,102.46,2024-12-02,Defective
R0025011,O0025011,P000090,1,115.66,2025-03-10,Too small
R0016182,O0016182,P000141,1,243.31,2024-11-08,Defective
R0024905,O0024905,P000096,2,184.14,2025-02-27,Changed mind
R0017067,O0017067,P000208,2,181.5,2024-11-13,Late delivery
R0011956,O0011956,P000180,1,172.02,2024-08-09,Changed mind
R0032653,O0032653,P000105,1,57.89,2025-06-30,Wrong item
R0016818,O0016818,P000206,1,68.58,2024-11-15,Defective
R0015665,O0015665,P000038,1,150.64,2024-10-24,Changed mind
R0018930,O0018930,P000209,3,225.99,2024-12-09,Too small
R0024854,O0024854,P000219,1,106.17,2025-02-18,Changed mind
R0020901,O0020901,P000169,1,184.78,2024-12-24,Defective
R0021948,O0021948,P000142,1,178.18,2025-01-13,Defective
R0031757,O0031757,P000014,2,284.3,2025-06-04,Changed mind
R0032681,O0032681,P000124,1,38.14,2025-06-23,Late delivery
R0009467,O0009467,P000022,2,307.08,2024-06-30,Changed mind
R0000124,O0000124,P000175,1,173.15,2024-01-28,Defective
R0026674,O0026674,P000186,1,36.72,2025-04-02,Wrong item
R0025482,O0025482,P000047,1,211.23,2025-03-24,Wrong item
R0003135,O0003135,P000081,1,33.16,2024-03-10,Defective
R0023276,O0023276,P000111,1,87.61,2025-02-08,Wrong item
R0013981,O0013981,P000209,1,75.33,2024-09-14,Late delivery
R0004008,O0004008,P000012,1,149.91,2024-03-29,Changed mind
R0019404,O0019404,P000074,2,204.92,2024-12-04,Late delivery
R0019949,O0019949,P000183,1,74.7,2025-01-01,Wrong item
R0022332,O0022332,P000163,2,125.74,2025-01-18,Too small
R0026547,O0026547,P000164,3,311.94,2025-03-16,Changed mind
R0026040,O0026040,P000103,2,173.4,2025-03-14,Defective
R0030276,O0030276,P000198,1,155.23,2025-05-07,Wrong item
R0007946,O0007946,P000086,2,116.62,2024-06-16,Late delivery
R0032361,O0032361,P000027,1,8.95,2025-06-11,Late delivery
R0027461,O0027461,P000077,1,54.81,2025-04-04,Wrong item
R0022536,O0022536,P000039,2,220.78,2025-02-08,Late delivery
R0036098,O0036098,P000101,2,179.9,2025-08-15,Wrong item
R0034998,O0034998,P000104,1,126.35,2025-07-21,Late delivery
R0032334,O0032334,P000201,1,46.52,2025-06-19,Late delivery
R0020471,O0020471,P000197,2,90.4,2024-12-26,Late delivery
R0005941,O0005941,P000210,1,108.74,2024-05-21,Late delivery
R0027457,O0027457,P000093,1,33.55,2025-04-22,Wrong item
R0015371,O0015371,P000216,3,523.5,2024-10-22,Too small
R0018223,O0018223,P000071,2,26.32,2024-11-22,Changed mind
R0036722,O0036722,P000112,2,15.56,2025-08-04,Changed mind
R0007589,O0007589,P000013,1,67.35,2024-06-02,Changed mind
R0035827,O0035827,P000112,1,7.01,2025-07-29,Too small
R0026771,O0026771,P000152,3,150.57,2025-03-30,Changed mind
R0023885,O0023885,P000127,2,80.66,2025-02-19,Wrong item
R0007886,O0007886,P000139,1,51.03,2024-06-16,Defective
R0000335,O0000335,P000034,2,318.32,2024-01-31,Wrong item
R0007565,O0007565,P000077,1,54.81,2024-06-06,Wrong item
R0004134,O0004134,P000145,1,87.36,2024-04-13,Too small
R0032381,O0032381,P000165,1,35.61,2025-06-28,Wrong item
R0011622,O0011622,P000137,3,279.09,2024-08-14,Too small
R0027821,O0027821,P000148,1,87.71,2025-04-14,Late delivery
R0020714,O0020714,P000098,1,7.56,2024-12-25,Wrong item
R0021293,O0021293,P000127,1,40.33,2025-01-16,Too small
R0005907,O0005907,P000194,1,162.34,2024-04-26,Changed mind
R0033858,O0033858,P000150,2,244.14,2025-06-22,Changed mind
R0001106,O0001106,P000172,1,183.34,2024-02-02,Defective
R0014403,O0014403,P000163,1,62.87,2024-10-08,Late delivery
R0020982,O0020982,P000096,2,184.14,2025-01-03,Changed mind
R0009076,O0009076,P000202,3,195.66,2024-07-13,Changed mind
R0024295,O0024295,P000055,1,103.25,2025-03-10,Changed mind
R0019279,O0019279,P000095,1,185.01,2024-12-16,Late delivery
R0037125,O0037125,P000114,1,31.0,2025-08-02,Changed mind
R0014842,O0014842,P000106,3,321.72,2024-10-07,Late delivery
R0008330,O0008330,P000063,1,116.15,2024-06-26,Defective
R0019460,O0019460,P000209,2,150.66,2024-12-03,Too small
R0012038,O0012038,P000153,2,58.02,2024-08-11,Late delivery
R0023238,O0023238,P000182,2,316.2,2025-02-12,Wrong item
R0025994,O0025994,P000089,2,418.08,2025-03-28,Too small
R0025551,O0025551,P000041,1,87.84,2025-03-07,Wrong item
R0019679,O0019679,P000103,1,74.23,2024-12-11,Changed mind
R0002913,O0002913,P000112,2,15.56,2024-03-16,Wrong item
R0020361,O0020361,P000061,1,67.98,2024-12-27,Changed mind
R0014396,O0014396,P000035,1,105.63,2024-09-24,Wrong item
R0006449,O0006449,P000033,2,381.0,2024-05-10,Wrong item
R0033543,O0033543,P000179,2,49.84,2025-07-03,Defective
R0011116,O0011116,P000178,3,512.19,2024-08-12,Wrong item
R0031460,O0031460,P000101,1,89.95,2025-06-05,Changed mind
R0037016,O0037016,P000166,1,123.53,2025-08-08,Wrong item
R0017960,O0017960,P000155,1,159.73,2024-11-28,Changed mind
R0027575,O0027575,P000013,1,67.35,2025-04-21,Defective
R0027166,O0027166,P000162,1,92.33,2025-04-09,Wrong item
R0011074,O0011074,P000025,1,146.75,2024-07-26,Too small
R0030032,O0030032,P000079,2,227.22,2025-05-22,Changed mind
R0023853,O0023853,P000087,2,265.96,2025-02-17,Changed mind
R0027357,O0027357,P000052,2,390.72,2025-04-04,Defective
R0009354,O0009354,P000039,2,220.78,2024-07-03,Wrong item
R0026912,O0026912,P000100,1,172.57,2025-03-23,Defective
R0005414,O0005414,P000207,1,169.12,2024-05-02,Changed mind
R0037133,O0037133,P000009,3,497.07,2025-08-02,Wrong item
R0002503,O0002503,P000189,1,138.09,2024-03-04,Wrong item
R0033942,O0033942,P000022,3,516.96,2025-07-15,Wrong item
R0000489,O0000489,P000125,1,133.53,2024-01-24,Defective
R0016153,O0016153,P000032,1,101.71,2024-11-09,Too small
R0001491,O0001491,P000217,1,180.42,2024-02-17,Wrong item
R0013325,O0013325,P000151,1,104.27,2024-09-18,Too small
R0027527,O0027527,P000028,1,9.1,2025-04-01,Defective
R0005112,O0005112,P000060,1,18.98,2024-04-29,Late delivery
R0004963,O0004963,P000043,1,9.11,2024-04-08,Too small
R0006912,O0006912,P000078,1,76.24,2024-05-31,Too small
R0029143,O0029143,P000099,1,89.49,2025-05-12,Wrong item
R0016881,O0016881,P000216,2,349.0,2024-10-29,Late delivery
R0014436,O0014436,P000076,1,70.57,2024-10-08,Wrong item
R0024785,O0024785,P000085,2,314.16,2025-02-27,Defective
R0001925,O0001925,P000132,1,205.17,2024-03-06,Defective
R0014622,O0014622,P000122,2,119.84,2024-10-07,Defective
R0006471,O0006471,P000147,1,142.45,2024-05-08,Wrong item
R0035426,O0035426,P000084,1,117.97,2025-08-05,Changed mind
R0033682,O0033682,P000137,1,95.13,2025-07-15,Defective
R0027143,O0027143,P000028,1,9.84,2025-03-22,Wrong item
R0033492,O0033492,P000054,2,18.96,2025-07-12,Too small
R0012671,O0012671,P000051,3,179.19,2024-09-03,Late delivery
R0027146,O0027146,P000029,1,19.67,2025-04-13,Wrong item
R0003483,O0003483,P000207,2,346.54,2024-03-29,Defective
R0031721,O0031721,P000008,1,119.97,2025-05-31,Too small
R0032243,O0032243,P000181,1,155.22,2025-06-01,Late delivery
R0036251,O0036251,P000037,1,147.65,2025-08-04,Too small
R0021958,O0021958,P000022,1,172.32,2025-01-28,Too small
R0019128,O0019128,P000089,2,418.08,2024-12-04,Wrong item
R0026940,O0026940,P000054,1,9.48,2025-03-21,Wrong item
R0025258,O0025258,P000019,1,88.69,2025-03-07,Late delivery
R0034461,O0034461,P000011,1,213.66,2025-07-01,Too small
R0025133,O0025133,P000135,2,285.06,2025-03-15,Late delivery
R0032116,O0032116,P000055,1,87.89,2025-06-23,Wrong item
R0021512,O0021512,P000072,1,29.72,2025-01-04,Defective
R0033957,O0033957,P000096,3,276.21,2025-07-13,Defective
R0002295,O0002295,P000123,3,40.02,2024-02-17,Late delivery
R0010634,O0010634,P000171,1,193.85,2024-07-16,Wrong item
R0019689,O0019689,P000200,2,142.24,2024-12-16,Wrong item
R0032150,O0032150,P000101,1,89.95,2025-06-19,Too small
R0025060,O0025060,P000039,1,110.39,2025-03-19,Late delivery
R0034253,O0034253,P000125,2,267.06,2025-07-01,Too small
R0015392,O0015392,P000174,3,225.81,2024-10-24,Defective
R0029207,O0029207,P000148,1,87.71,2025-05-09,Wrong item
R0032265,O0032265,P000124,3,114.42,2025-06-10,Wrong item
R0020920,O0020920,P000193,1,62.5,2025-01-02,Late delivery
R0037122,O0037122,P000110,2,46.76,2025-08-23,Late delivery
R0022716,O0022716,P000067,1,120.37,2025-01-28,Late delivery
R0004646,O0004646,P000172,2,322.26,2024-04-27,Late delivery
R0003881,O0003881,P000006,3,383.34,2024-03-23,Defective
R0014620,O0014620,P000030,1,87.03,2024-09-29,Too small
R0004433,O0004433,P000036,1,146.96,2024-04-04,Wrong item
R0019781,O0019781,P000123,1,13.34,2024-12-23,Defective
R0000946,O0000946,P000124,1,38.14,2024-02-04,Changed mind
R0023515,O0023515,P000077,1,54.81,2025-02-02,Wrong item
R0003129,O0003129,P000066,2,218.64,2024-03-14,Wrong item
R0013381,O0013381,P000133,3,506.73,2024-09-24,Changed mind
R0027406,O0027406,P000212,1,66.35,2025-03-30,Wrong item
R0025768,O0025768,P000156,1,138.91,2025-03-25,Changed mind
R0010708,O0010708,P000210,2,217.48,2024-08-05,Changed mind
R0005574,O0005574,P000074,2,204.92,2024-04-23,Late delivery
R0006771,O0006771,P000189,1,146.11,2024-05-20,Wrong item
R0015288,O0015288,P000191,1,94.4,2024-10-25,Late delivery
R0026033,O0026033,P000075,3,117.45,2025-03-23,Late delivery
R0016403,O0016403,P000063,1,116.15,2024-11-01,Wrong item
R0001323,O0001323,P000146,1,176.67,2024-02-18,Late delivery
R0008887,O0008887,P000015,3,447.06,2024-07-07,Too small
R0036481,O0036481,P000106,1,99.09,2025-08-14,Changed mind
R0009445,O0009445,P000151,1,104.27,2024-07-21,Wrong item
R0003364,O0003364,P000036,1,146.96,2024-03-09,Wrong item
R0030472,O0030472,P000103,2,173.4,2025-05-21,Too small
R0009145,O0009145,P000210,1,108.74,2024-06-26,Changed mind
R0009405,O0009405,P000160,1,66.27,2024-07-16,Too small
R0025364,O0025364,P000043,3,23.73,2025-03-24,Changed mind
R0006508,O0006508,P000168,1,59.75,2024-05-24,Late delivery
R0000655,O0000655,P000033,1,174.63,2024-02-04,Changed mind
R0033396,O0033396,P000024,1,95.03,2025-06-15,Too small
R0024001,O0024001,P000019,1,88.69,2025-03-04,Too small
R0012695,O0012695,P000009,2,331.38,2024-08-19,Changed mind
R0033154,O0033154,P000144,2,41.64,2025-06-14,Too small
R0033755,O0033755,P000095,2,370.02,2025-07-13,Defective
R0020915,O0020915,P000218,1,39.43,2025-01-13,Defective
R0025695,O0025695,P000211,2,244.16,2025-03-20,Too small
R0024004,O0024004,P000020,1,21.98,2025-02-18,Late delivery
R0005966,O0005966,P000013,1,67.35,2024-05-14,Late delivery
R0013061,O0013061,P000198,1,155.23,2024-09-15,Defective
R0023652,O0023652,P000085,1,157.08,2025-02-04,Wrong item
R0027826,O0027826,P000009,2,331.38,2025-04-25,Changed mind
R0006011,O0006011,P000116,2,236.04,2024-05-04,Too small
R0015814,O0015814,P000026,1,49.31,2024-10-27,Late delivery
R0001952,O0001952,P000091,1,42.42,2024-02-25,Late delivery
R0029703,O0029703,P000191,2,188.8,2025-05-01,Wrong item
R0030792,O0030792,P000042,1,149.66,2025-05-12,Too small
R0025857,O0025857,P000094,1,94.96,2025-03-05,Wrong item
R0022359,O0022359,P000055,2,206.5,2025-01-22,Defective
R0023150,O0023150,P000021,2,127.0,2025-02-21,Changed mind
R0003982,O0003982,P000140,1,129.81,2024-03-30,Changed mind
R0009174,O0009174,P000149,1,186.82,2024-07-16,Wrong item
R0036249,O0036249,P000017,1,112.23,2025-07-24,Wrong item
R0004506,O0004506,P000197,1,45.2,2024-04-07,Late delivery
R0031337,O0031337,P000090,1,115.66,2025-05-29,Wrong item
R0020968,O0020968,P000203,1,168.85,2025-01-07,Defective
R0005208,O0005208,P000033,2,381.0,2024-04-29,Too small
R0017720,O0017720,P000058,1,111.12,2024-11-07,Wrong item
R0017489,O0017489,P000140,1,129.81,2024-11-04,Late delivery
R0004958,O0004958,P000135,1,142.53,2024-04-11,Too small
R0007634,O0007634,P000130,3,431.16,2024-05-30,Defective
R0013693,O0013693,P000140,1,129.81,2024-09-22,Defective
R0002076,O0002076,P000108,2,25.52,2024-03-06,Wrong item
R0009139,O0009139,P000187,2,157.94,2024-07-05,Changed mind
R0013683,O0013683,P000060,2,39.08,2024-09-15,Changed mind
R0002429,O0002429,P000036,2,293.92,2024-02-24,Late delivery
R0006757,O0006757,P000112,1,7.78,2024-05-29,Changed mind
R0000384,O0000384,P000134,2,208.9,2024-01-29,Too small
R0011207,O0011207,P000015,1,154.53,2024-08-03,Wrong item
R0004784,O0004784,P000117,1,93.0,2024-04-15,Defective
R0011570,O0011570,P000031,1,102.62,2024-08-08,Defective
R0023958,O0023958,P000103,1,81.83,2025-02-20,Too small
R0033121,O0033121,P000112,1,7.78,2025-06-21,Wrong item
R0004321,O0004321,P000104,2,290.9,2024-04-08,Too small
R0008551,O0008551,P000171,3,614.7,2024-06-12,Changed mind
R0034003,O0034003,P000160,1,76.27,2025-07-10,Defective
R0020407,O0020407,P000033,3,571.5,2024-12-23,Changed mind
R0022983,O0022983,P000155,1,159.73,2025-02-09,Wrong item
R0015931,O0015931,P000111,1,87.61,2024-10-28,Late delivery
R0011618,O0011618,P000055,1,103.25,2024-08-29,Late delivery
R0035817,O0035817,P000135,1,136.23,2025-08-07,Too small
R0007142,O0007142,P000181,1,160.5,2024-06-08,Defective
R0002400,O0002400,P000038,2,301.28,2024-03-13,Late delivery
R0011180,O0011180,P000181,1,146.23,2024-08-21,Late delivery
R0023965,O0023965,P000203,3,506.55,2025-02-08,Wrong item
R0027618,O0027618,P000034,2,284.34,2025-04-21,Changed mind
R0012786,O0012786,P000164,1,103.98,2024-08-29,Defective
R0016357,O0016357,P000053,3,315.81,2024-11-09,Wrong item
R0007857,O0007857,P000189,3,438.33,2024-06-02,Too small
R0021038,O0021038,P000124,1,37.11,2025-01-21,Wrong item
R0010879,O0010879,P000185,2,362.12,2024-08-07,Changed mind
